Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Bank of Florida - Tampa,Tampa,Florida,57814,EverBank,2010-05-28,10243
"Granite Community Bank, NA",Granite Bay,California,57315,Tri Counties Bank,2010-05-28,10244
Sun West Bank,Las Vegas,Nevada,34785,City National Bank,2010-05-28,10245
TierOne Bank,Lincoln,Nebraska,29341,Great Western Bank,2010-06-04,10248
Arcola Homestead Savings Bank,Arcola,Illinois,31813,No Acquirer,2010-06-04,10246
First National Bank,Rosedale,Mississippi,15814,The Jefferson Bank,2010-06-04,10247
Washington First International Bank,Seattle,Washington,32955,East West Bank,2010-06-11,10249
Nevada Security Bank,Reno,Nevada,57110,Umpqua Bank,2010-06-18,10250
First National Bank,Savannah,Georgia,34152,"The Savannah Bank, N.A.",2010-06-25,10251
High Desert State Bank,Albuquerque,New Mexico,35279,First American Bank,2010-06-25,10252
Peninsula Bank,Englewood,Florida,26563,"Premier American Bank, N.A.",2010-06-25,10253
USA Bank,Port Chester,New York,58072,New Century Bank,2010-07-09,10254
Bay National Bank,Baltimore,Maryland,35462,"Bay Bank, FSB",2010-07-09,10255
Home National Bank,Blackwell,Oklahoma,11636,RCB Bank,2010-07-09,10256
Ideal Federal Savings Bank,Baltimore,Maryland,32456,No Acquirer,2010-07-09,10257
"Mainstreet Savings Bank, FSB",Hastings,Michigan,28136,Commercial Bank,2010-07-16,10258
Metro Bank of Dade County,Miami,Florida,25172,NAFH National Bank,2010-07-16,10259
Olde Cypress Community Bank,Clewiston,Florida,28864,"CenterState Bank of Florida, N.A.",2010-07-16,10260
Turnberry Bank,Aventura,Florida,32280,NAFH National Bank,2010-07-16,10261
Woodlands Bank,Bluffton,South Carolina,32571,Bank of the Ozarks,2010-07-16,10262
First National Bank of the South,Spartanburg,South Carolina,35383,NAFH National Bank,2010-07-16,10263
Crescent Bank and Trust Company,Jasper,Georgia,27559,Renasant Bank,2010-07-23,10265
Williamsburg First National Bank,Kingstree,South Carolina,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,10270
Thunder Bank,Sylvan Grove,Kansas,10506,The Bennington State Bank,2010-07-23,10269
Community Security Bank,New Prague,Minnesota,34486,Roundbank,2010-07-23,10264
SouthwestUSA Bank,Las Vegas,Nevada,35434,Plaza Bank,2010-07-23,10267
Sterling Bank,Lantana,Florida,32536,IBERIABANK,2010-07-23,10268
Home Valley Bank,Cave Junction,Oregon,23181,South Valley Bank & Trust,2010-07-23,10266
Bayside Savings Bank,Port Saint Joe,Florida,57669,Centennial Bank,2010-07-30,10271
Coastal Community Bank,Panama City Beach,Florida,9619,Centennial Bank,2010-07-30,10272
LibertyBank,Eugene,Oregon,31964,Home Federal Bank,2010-07-30,10273
Northwest Bank & Trust,Acworth,Georgia,57658,State Bank and Trust Company,2010-07-30,10274
The Cowlitz Bank,Longview,Washington,22643,Heritage Bank,2010-07-30,10275
Ravenswood Bank,Chicago,Illinois,34231,Northbrook Bank & Trust Company,2010-08-06,10276
Palos Bank and Trust Company,Palos Heights,Illinois,17599,First Midwest Bank,2010-08-13,10277
Sonoma Valley Bank,Sonoma,California,27259,Westamerica Bank,2010-08-20,10285
Butte Community Bank,Chico,California,33219,"Rabobank, N.A.",2010-08-20,10278
